Zeilenbeschriftungen;Min. von temp_min;Max. von temp_max;Mittelwert von temp;Mittelwert von humidity;Mittelwert von wind_speed
2000-01-01;-0,96;3,54;0,667083333;96,95833333;2,399130435
2000-01-02;2,75;4,89;3,783333333;93,58333333;3,877083333
2000-01-03;4,44;7,08;5,8375;87,41666667;4,872083333
2000-01-04;4,42;6,58;5,647916667;91,41666667;4,358695652
2000-01-05;-0,33;6,94;3,79826087;85,58333333;4,973333333
2000-01-06;-1,39;4,59;1,199166667;91,125;3,594782609
2000-01-07;2,45;6,92;4,378333333;94,29166667;3,299166667
2000-01-08;1,22;5,64;3,48;88,70833333;3,955416667
2000-01-09;1,93;5,12;4,018695652;94,66666667;2,151666667
2000-01-10;0,61;2,48;1,681666667;95,375;2,133333333
2000-01-11;-2,61;1,84;0,045416667;91,04166667;2,610434783
2000-01-12;-3,56;1,4;-1,567083333;93,41666667;3,253333333
2000-01-13;-4,83;-0,43;-3,045;84,29166667;2,98375
2000-01-14;-4,8;-0,43;-2,0125;83,5;1,92173913
2000-01-15;-2,31;0,25;-0,874166667;89,79166667;2,39375
2000-01-16;-3,43;4,36;0,8225;97,875;4,011666667
2000-01-17;4,16;7,73;6,530833333;90,29166667;7,64625
2000-01-18;1,53;7,04;4,3425;74,95833333;7,24875
2000-01-19;-1,57;3,03;0,7325;78,54166667;5,088695652
2000-01-20;-1,99;4,8;2,413333333;91,25;6,940434783
2000-01-21;-3,9;4,42;-0,2475;78,66666667;5,314545455
2000-01-22;-5,52;-1,56;-3,06125;85;3,300833333
2000-01-23;-10,48;-2,4;-6,47;79,54166667;3,1975
2000-01-24;-8,83;-2,04;-5,09625;84,16666667;2,659166667
2000-01-25;-11,88;-2,29;-6,509166667;83,29166667;3,596666667
2000-01-26;-3,89;3,46;0,6525;94;5,450833333
2000-01-27;1,72;3,52;2,344782609;93,41666667;6,17826087
2000-01-28;1,4;2,93;1,880434783;79,875;6,05625
2000-01-29;1,2;7,94;4,48375;87,79166667;7,740833333
2000-01-30;2,85;6,46;4,755416667;74,54166667;7,49125
2000-01-31;2,95;10,41;7,641666667;79,75;7,907083333
2000-02-01;5,83;9,7;8,105833333;84,20833333;5,21625
2000-02-02;4,55;8,28;6,79125;87;5,8425
2000-02-03;-0,57;6,5;3,905833333;80,25;6,113043478
2000-02-04;-0,1;7,84;4,389583333;90,25;5,950416667
2000-02-05;5,77;8,99;7,940869565;91,33333333;5,663913043
2000-02-06;5,39;12,31;7,576666667;80,41666667;3,420833333
2000-02-07;5,88;10,37;7,472083333;80;4,975
2000-02-08;6,4;9,96;7,771666667;81,45833333;6,708333333
2000-02-09;3,11;7,72;5,01375;78,29166667;8,259130435
2000-02-10;4,58;8,29;6,149166667;77,70833333;5,194583333
2000-02-11;1,55;7,42;4,861666667;83,79166667;4,18
2000-02-12;-1,43;6,62;2,56625;79,08333333;4,420833333
2000-02-13;1,41;3,65;2,376666667;91,79166667;5,165416667
2000-02-14;0,43;4,66;2,384583333;83,41666667;4,724583333
2000-02-15;0,83;7,71;3,960869565;90,08333333;3,867916667
2000-02-16;0,35;4,83;2,977083333;87,41666667;4,821304348
2000-02-17;-0,71;3,43;0,948333333;87,16666667;3,6525
2000-02-18;-0,3;4,47;1,552083333;87,54166667;3,480833333
