Zeilenbeschriftungen;Min. von temp_min;Max. von temp_max;Mittelwert von temp;Mittelwert von humidity;Mittelwert von wind_speed
2000-01-01;0,92;3,3;1,894583333;97,58333333;2,573333333
2000-01-02;-0,04;3,31;1,827916667;96,79166667;2,283333333
2000-01-03;1,31;3,43;2,28375;97,16666667;3,585416667
2000-01-04;2,12;6,15;3,950833333;97;4,911304348
2000-01-05;1,2;6,24;3,584583333;88,95833333;3,224583333
2000-01-06;0,9;3,84;2,255;98,125;3,309166667
2000-01-07;3,18;5,96;4,270833333;95,95833333;2,79875
2000-01-08;2,53;5,09;3,680833333;93,91666667;3,726666667
2000-01-09;1,52;4,39;3,5725;97,08333333;2,09875
2000-01-10;-1,54;2,5;0,889583333;91,875;2,658333333
2000-01-11;-2,95;1,72;-0,0375;92,45833333;1,34
2000-01-12;-1,88;1,08;-0,089166667;90,45833333;2,687826087
2000-01-13;-3,16;-0,51;-1,87125;89,125;3,344583333
2000-01-14;-1,58;0,72;-0,29375;94,375;2,180416667
2000-01-15;-1,06;1,06;-0,152083333;91,625;1,645
2000-01-16;-1,21;2,12;0,19;89,54166667;2,2625
2000-01-17;1,96;5,75;4,362916667;95,25;5,705833333
2000-01-18;0,57;5,55;4,042916667;88,95833333;6,520416667
2000-01-19;-1,4;2,62;0,125833333;83,33333333;3,39826087
2000-01-20;-1,33;2,26;0,80125;92,75;4,29625
2000-01-21;-0,52;3,2;1,7225;92,875;4,732916667
2000-01-22;-0,04;1,45;0,738333333;96,75;3,455833333
2000-01-23;-9,53;0,77;-2,883913043;90,95833333;3,119583333
2000-01-24;-13,58;-4,5;-8,072608696;79,16666667;1,2525
2000-01-25;-11,53;-3,94;-8,338695652;83,45833333;1,494166667
2000-01-26;-13,02;-1,58;-5,769166667;90,95833333;2,57875
2000-01-27;-6,43;0,01;-2,288333333;93,04166667;2,838333333
2000-01-28;-8,41;1,56;-2,642916667;86,25;4,284583333
2000-01-29;1,47;7,05;4,150833333;94,95833333;8,179166667
2000-01-30;4,21;8,63;6,524166667;89,79166667;6,3225
2000-01-31;7,09;8,56;7,9025;91,16666667;6,7525
2000-02-01;5,58;7,81;6,53625;91,5;4,224583333
2000-02-02;3,81;7,05;5,42375;93,08333333;4,337391304
2000-02-03;1,98;5,55;3,949583333;90,25;4,307916667
