Datum;Min. von temp_min;Max. von temp_max;Mittelwert von temp;Mittelwert von humidity;Mittelwert von wind_speed
2000-01-01;2,16;6,55;3,385416667;95,875;3,466956522
2000-01-02;1,95;7,15;4,385;96,16666667;4,236086957
2000-01-03;6,13;8,25;7,460833333;93,54166667;5,473043478
2000-01-04;2,72;7,95;4,79875;95;4,135833333
2000-01-05;1,77;6,75;3,82875;87,08333333;5,04
2000-01-06;2,01;7,55;5,03;88,58333333;4,984166667
2000-01-07;4,5;7,45;5,923333333;90,08333333;4,379166667
2000-01-08;3,98;6,32;5,343333333;88,625;4,827083333
2000-01-09;-1,75;4,55;2,52625;96,29166667;2,974583333
2000-01-10;-0,95;1,67;0,739565217;98,375;2,745
2000-01-11;-0,31;3,07;1,418695652;88,41666667;4,5375
2000-01-12;-0,73;3,15;1,030833333;83,58333333;4,929565217
2000-01-13;-2,05;0,68;-0,219166667;87;3,451363636
2000-01-14;-1,24;2,05;0,156956522;87,625;1,7075
2000-01-15;-2,35;2,25;0,324347826;93,125;2,444166667
2000-01-16;1,18;6,89;4,863913043;96,91666667;4,813913043
2000-01-17;6,63;7,82;7,257826087;87,41666667;9,22125
2000-01-18;0,12;7,7;5,21375;74,75;6,875416667
2000-01-19;-3,45;4,35;0,082916667;79,58333333;3,424347826
2000-01-20;1,65;5,76;4,727083333;91,95833333;6,980416667
2000-01-21;-1,25;5,94;2,242173913;69,04166667;4,9275
2000-01-22;-3,12;1,33;-0,078333333;92,79166667;3,225833333
2000-01-23;-8,85;0,05;-4,002083333;80,08333333;2,5675
2000-01-24;-12,75;-0,15;-4,972083333;87,33333333;1,887272727
2000-01-25;-5,63;1,56;-2,047083333;86,16666667;3,66625
2000-01-26;0,78;4,98;3,247307692;97,23076923;5,6368
2000-01-27;2,46;4,45;3,236;94,26666667;6,722333333
2000-01-28;1,76;3,68;2,689615385;90,96153846;7,142307692
2000-01-29;2,78;9,45;5,827391304;90,33333333;8,68
2000-01-30;3,71;7,18;5,175;77,66666667;7,687083333
2000-01-31;5,35;9,95;7,715833333;83,91666667;8,13875
2000-02-01;6,55;9,15;8,32375;85,08333333;6,342916667
2000-02-02;2,85;10,95;6,544583333;89,79166667;6,17625
2000-02-03;1,57;6,86;4,48;82,625;6,137826087
2000-02-04;1,89;8,65;5,898;94,04;6,7232
2000-02-05;5,85;8,95;8,095;91,79166667;5,668333333
2000-02-06;5,55;9,15;7,653043478;76,66666667;4,435416667
2000-02-07;5,75;8,55;7,447916667;80,33333333;6,490416667
2000-02-08;5,71;8,89;7,4064;84,56;7,8168
