Zeilenbeschriftungen;Min. von temp_min;Max. von temp_max;Mittelwert von temp;Mittelwert von humidity;Mittelwert von wind_speed
2000-01-01;6,57;10,09;8,365384615;95,80769231;2,907692308
2000-01-02;5,37;10,53;8,06;95,29166667;3,034782609
2000-01-03;4,24;9,13;7,054166667;90,91666667;5,133333333
2000-01-04;6,76;10,53;8,328076923;91,33333333;7,162962963
2000-01-05;4,43;10,57;7,799583333;91,5;3,919166667
2000-01-06;4,13;10,43;7,448461538;91,76923077;4,450384615
2000-01-07;3,89;7,47;6,121666667;91,95833333;4,358333333
2000-01-08;5,07;10,19;7,973636364;95,12121212;3,951515152
2000-01-09;1,26;7,99;5,4432;86,6;3,94
2000-01-10;-2,14;5,59;1,23875;92,20833333;2,511764706
2000-01-11;-3,91;-0,37;-1,743333333;97,20833333;2,683333333
2000-01-12;-1,73;2,29;0,3512;91,56;3,370833333
2000-01-13;-0,24;2,83;1,700689655;88,96551724;4,110344828
2000-01-14;0,87;6,24;3,078148148;92,81481481;3,65
2000-01-15;-0,67;5,79;3,053913043;87,625;5,6025
2000-01-16;-0,53;4,79;2,589583333;78,91666667;5,258333333
2000-01-17;2,83;10,13;5,929166667;84,41666667;4,5625
2000-01-18;4,97;7,59;6,5452;86,72;5,516
2000-01-19;4,07;6,29;5,401666667;78,125;4,583333333
2000-01-20;1,27;7,53;4,795416667;77,25;3,2875
2000-01-21;3,65;7,39;5,568333333;81,83333333;3,725
2000-01-22;3,06;6,37;4,83875;85;7,104166667
2000-01-23;1,37;6,27;3,872916667;83,91666667;6,258333333
2000-01-24;-2,73;2,99;0,583333333;76,25;3,516666667
2000-01-25;-5,93;2,24;-1,340416667;58,625;3,6875
2000-01-26;-5,77;2,76;-1,872083333;63,16666667;2,957142857
2000-01-27;-7,76;5,76;-1,322608696;73,16666667;2,14
2000-01-28;-5,76;7,69;1,939166667;82,625;4,933333333
2000-01-29;5,77;11,19;9,065833333;86,41666667;9,745833333
2000-01-30;9,77;13,13;10,98266667;86,77419355;7,580645161
2000-01-31;8,24;12,49;10,23791667;82,79166667;5,658333333
2000-02-01;5,49;9,24;7,898333333;89,54166667;4,791666667
2000-02-02;3,35;10,24;6,832592593;89,28571429;4,128571429
2000-02-03;0,76;8,19;5,359583333;86,54166667;3,0375
2000-02-04;0,24;10,13;6,47625;78,125;3,3375
2000-02-05;1,57;14,76;7,80625;75,08333333;3,266666667
2000-02-06;3,56;10,33;7,612222222;89,51851852;5,748148148
2000-02-07;5,24;11,43;8,883076923;88,34615385;8,003846154
2000-02-08;7,75;13,73;10,99695652;82,41666667;8,216666667
2000-02-09;4,26;11,24;7,68875;71,91666667;6,041666667
2000-02-10;2,56;9,29;6,012916667;85,45833333;6,979166667
2000-02-11;-1,44;9,24;4,26375;76,91666667;2,665217391
2000-02-12;-1,54;8,76;5,225925926;85,51851852;6,681481481
2000-02-13;6,17;11,79;8,846206897;90,37931034;5,724137931
2000-02-14;5,07;11,59;8,373333333;92,08;4,617391304
2000-02-15;7,76;11,07;9,335217391;79,25;6,404166667
2000-02-16;1,07;7,97;4,8168;78,76;7,616
2000-02-17;1,35;8,24;4,9608;73,08;5,68
2000-02-18;2,99;11,47;7,7;85,96774194;7,148387097
2000-02-19;3,07;9,76;6,93625;78,83333333;6,858333333
2000-02-20;-0,84;8,39;4,538333333;71,33333333;3,414285714
2000-02-21;-2,24;9,49;4,488333333;71,58333333;3,092727273
2000-02-22;3,77;9,49;6,4548;73,8;2,98
2000-02-23;2,24;11,59;7,828;74,6;4,38
2000-02-24;8,75;12,79;10,57515152;92;5,272727273
2000-02-25;1,16;11,87;8,6288;79,28;5,4625
2000-02-26;-0,44;11,19;5,845416667;74,33333333;2,294444444
2000-02-27;1,73;18,37;10,2075;71,75;4,9125
2000-02-28;5,85;12,63;9,07;85,16666667;7,2125
2000-02-29;4,69;10,43;7,430833333;86,83333333;8,208333333
2000-03-01;3,11;9,13;6,5652;78,84;6,4748
2000-03-02;-0,24;10,16;6,102916667;73,75;6,275
2000-03-03;6,06;11,43;9,280434783;84,20833333;9,2875
2000-03-04;0,46;8,29;4,994583333;60,54166667;5,133333333
