Datum;Min. von temp_min;Max. von temp_max;Mittelwert von temp;Mittelwert von humidity;Mittelwert von wind_speed
2000-01-01;-1,09;4,5;2,2775;92,58333333;2,549130435
2000-01-02;-1,96;5,27;2,893333333;95,16666667;1,400416667
2000-01-03;-2,36;3,21;0,506666667;88,875;1,82826087
2000-01-04;0,41;7,37;4,667083333;83,125;3,7125
2000-01-05;1,09;8,89;5,713043478;91,33333333;2,601666667
2000-01-06;0,2;5,63;2,749583333;94,41666667;2,386521739
2000-01-07;3,37;6,99;5,185217391;92,91666667;1,525
2000-01-08;2,63;7,59;4,83;87,29166667;2,090416667
2000-01-09;4,06;5,96;4,960833333;96,54166667;1,23
2000-01-10;1,58;4,94;2,934583333;97,70833333;1,993478261
2000-01-11;1,43;3,63;2,4;91,08333333;1,405416667
2000-01-12;-1,83;1,76;0,439583333;85,58333333;1,78125
2000-01-13;-2,46;3,94;-0,0925;89,625;1,859166667
2000-01-14;-3,57;3,37;-0,71826087;91,70833333;1,67375
2000-01-15;-4,11;0,47;-1,848333333;89,95833333;1,563478261
2000-01-16;-1,97;1,67;-0,23;85,25;1,700416667
2000-01-17;-0,2;5,5;2,395217391;90,375;4,652083333
2000-01-18;1,95;6,6;4,718333333;90,66666667;5,94
2000-01-19;-0,88;2,9;0,80875;84,91666667;2,29125
2000-01-20;-0,7;2,83;1,162727273;84,83333333;2,875833333
2000-01-21;1,44;3,79;2,442083333;88,54166667;5,365833333
2000-01-22;0,72;2,78;1,753333333;93,66666667;3,450833333
2000-01-23;-7,63;2,61;0,34625;92,58333333;2,406666667
2000-01-24;-13,39;-3,39;-7,976666667;85,25;1,87875
2000-01-25;-15,56;-3,09;-9,560416667;87,70833333;1,51875
2000-01-26;-16,55;-1,33;-8,572916667;75,20833333;1,575
2000-01-27;-12,26;1,27;-5,452608696;76,20833333;2,099565217
2000-01-28;-5,93;4,44;0,206666667;78,66666667;3,696521739
2000-01-29;3,49;8,04;5,770416667;80,16666667;8,317826087
2000-01-30;7,5;9,98;8,947083333;89;7,479565217
2000-01-31;6,25;9,96;8,874166667;79,66666667;5,985652174
2000-02-01;0,99;12,43;5,99;82,41666667;2,134166667
2000-02-02;3,11;10,29;6,912083333;84,83333333;2,936666667
2000-02-03;3,25;6,47;4,82;83,33333333;3,790416667
2000-02-04;-0,06;8,7;4,548333333;77;2,18125
2000-02-05;4,47;14,79;8,476666667;75,375;1,960833333
2000-02-06;1,9;13,87;7,775217391;72,70833333;2,358333333
2000-02-07;6,28;10,34;8,19;73,91666667;4,822083333
2000-02-08;7,19;11,97;9,9375;82,04166667;7,072173913
2000-02-09;3,09;8,25;4,961304348;80,95833333;6,257083333
2000-02-10;3,16;11,58;6,61875;71,29166667;3,59
2000-02-11;-0,66;7,17;3,605;85,16666667;2,40125
2000-02-12;-2,14;5,2;1,723478261;79,125;2,57125
2000-02-13;1,63;6,45;4,615;87;4,783913043
2000-02-14;-1,37;6,98;2,829565217;88,45833333;1,94
