Jahr;Monat;Tag;Umsatz;Bodenrinnen;Duschrinnen
2014;January;1;2111,79;422,36;1689,43
2014;January;2;2413,22;482,64;1930,58
2014;January;3;1462,16;292,43;1169,73
2014;January;4;2193,68;438,74;1754,94
2014;January;5;2727,92;545,58;2182,33
2014;January;6;1760,26;352,05;1408,2
2014;January;7;1549,14;309,83;1239,31
2014;January;8;1734,52;346,9;1387,62
2014;January;9;2578,87;515,77;2063,1
2014;January;10;2612,49;522,5;2089,99
2014;January;11;1886,76;377,35;1509,4
2014;January;12;1879,28;375,86;1503,42
2014;January;13;1808,39;361,68;1446,71
2014;January;14;2128,85;425,77;1703,08
2014;January;15;2410,59;482,12;1928,47
2014;January;16;1656,27;331,25;1325,01
2014;January;17;1702,5;340,5;1362,0
2014;January;18;1482,76;296,55;1186,21
2014;January;19;2305,7;461,14;1844,56
2014;January;20;2078,91;415,78;1663,13
2014;January;21;1471,54;294,31;1177,23
2014;January;22;2157,44;431,49;1725,95
2014;January;23;2210,78;442,16;1768,62
2014;January;24;2628,89;525,78;2103,11
2014;January;25;1506,63;301,33;1205,3
2014;January;26;2797,64;559,53;2238,11
2014;January;27;1984,22;396,84;1587,38
2014;January;28;1683,26;336,65;1346,61
2014;January;29;1758,06;351,61;1406,44
2014;January;30;1808,96;361,79;1447,17
2014;January;31;1691,24;338,25;1353,0
2014;February;1;2383,87;476,77;1907,1
2014;February;2;1784,91;356,98;1427,93
2014;February;3;2583,74;516,75;2066,99
2014;February;4;2425,34;485,07;1940,27
2014;February;5;2907,35;581,47;2325,88
2014;February;6;2946,16;589,23;2356,93
2014;February;7;1768,45;353,69;1414,76
2014;February;8;1561,27;312,25;1249,02
2014;February;9;2757,38;551,48;2205,9
2014;February;10;1651,85;330,37;1321,48
2014;February;11;2905,84;581,17;2324,67
2014;February;12;2302,51;460,5;1842,01
2014;February;13;1869,48;373,9;1495,59
2014;February;14;2070,19;414,04;1656,15
2014;February;15;2114,07;422,81;1691,25
2014;February;16;1998,04;399,61;1598,43
2014;February;17;2236,36;447,27;1789,09
2014;February;18;2916,86;583,37;2333,49
2014;February;19;1667,82;333,56;1334,25
2014;February;20;2170,13;434,03;1736,1
2014;February;21;1555,18;311,04;1244,15
2014;February;22;2340,05;468,01;1872,04
2014;February;23;2669,27;533,85;2135,42
2014;February;24;2587,76;517,55;2070,21
2014;February;25;2535,8;507,16;2028,64
2014;February;26;1558,83;311,77;1247,07
2014;February;27;2019,49;403,9;1615,59
2014;February;28;1967,38;393,48;1573,9
2014;March;1;1963,15;392,63;1570,52
2014;March;2;2325,61;465,12;1860,49
2014;March;3;1699,24;339,85;1359,39
2014;March;4;1933,38;386,68;1546,7
2014;March;5;2587,67;517,53;2070,13
2014;March;6;2122,61;424,52;1698,09
2014;March;7;2338,72;467,74;1870,98
2014;March;8;2264,02;452,8;1811,21
2014;March;9;2676,09;535,22;2140,87
2014;March;10;1722,48;344,5;1377,98
2014;March;11;2067,25;413,45;1653,8
2014;March;12;1931,11;386,22;1544,89
2014;March;13;1914,33;382,87;1531,46
2014;March;14;2728,92;545,78;2183,14
2014;March;15;2284,79;456,96;1827,83
2014;March;16;1471,52;294,3;1177,22
2014;March;17;2698,21;539,64;2158,57
2014;March;18;1552,53;310,51;1242,02
2014;March;19;1928,03;385,61;1542,42
2014;March;20;1842,15;368,43;1473,72
2014;March;21;1732,04;346,41;1385,64
2014;March;22;2556,29;511,26;2045,03
2014;March;23;2719,49;543,9;2175,59
2014;March;24;2724,81;544,96;2179,84
2014;March;25;2029,78;405,96;1623,82
2014;March;26;2190,88;438,18;1752,7
2014;March;27;2635,4;527,08;2108,32
2014;March;28;2327,78;465,56;1862,23
2014;March;29;1630,28;326,06;1304,22
2014;March;30;1620,73;324,15;1296,58
2014;March;31;2597,46;519,49;2077,97
2014;April;1;1968,54;393,71;1574,83
2014;April;2;2892,7;578,54;2314,16
2014;April;3;2374,48;474,9;1899,58
2014;April;4;1986,06;397,21;1588,85
2014;April;5;2546,67;509,33;2037,34
2014;April;6;2926,82;585,36;2341,46
2014;April;7;2541,99;508,4;2033,59
2014;April;8;2070,04;414,01;1656,03
2014;April;9;2515,39;503,08;2012,31
2014;April;10;2311,24;462,25;1848,99
2014;April;11;1689,08;337,82;1351,26
2014;April;12;1925,72;385,14;1540,58
2014;April;13;2289,28;457,86;1831,42
2014;April;14;2760,91;552,18;2208,73
2014;April;15;3024,39;604,88;2419,51
2014;April;16;2148,82;429,76;1719,06
2014;April;17;2232,86;446,57;1786,28
2014;April;18;1730,77;346,15;1384,61
2014;April;19;2560,25;512,05;2048,2
2014;April;20;2160,32;432,06;1728,26
2014;April;21;2453,53;490,71;1962,83
2014;April;22;2139,4;427,88;1711,52
2014;April;23;1865,4;373,08;1492,32
2014;April;24;2133,92;426,78;1707,13
2014;April;25;1526,52;305,3;1221,21
2014;April;26;2285,83;457,17;1828,67
2014;April;27;2666,25;533,25;2133,0
2014;April;28;2842,69;568,54;2274,15
2014;April;29;1696,62;339,32;1357,3
2014;April;30;1687,08;337,42;1349,67
2014;May;1;2290,44;458,09;1832,35
2014;May;2;2721,57;544,31;2177,26
2014;May;3;1686,82;337,36;1349,45
2014;May;4;2421,68;484,34;1937,35
2014;May;5;2404,71;480,94;1923,77
2014;May;6;3295,28;659,06;2636,22
2014;May;7;2785,32;557,06;2228,26
2014;May;8;2182,71;436,54;1746,17
2014;May;9;2484,99;497,0;1988,0
2014;May;10;2531,9;506,38;2025,52
2014;May;11;3004,52;600,9;2403,62
2014;May;12;3343,31;668,66;2674,64
2014;May;13;1862,62;372,52;1490,1
2014;May;14;2171,76;434,35;1737,4
2014;May;15;2241,32;448,26;1793,05
2014;May;16;2458,08;491,62;1966,47
2014;May;17;1978,32;395,66;1582,65
2014;May;18;2211,34;442,27;1769,07
2014;May;19;2019,43;403,89;1615,54
2014;May;20;1983,6;396,72;1586,88
2014;May;21;2085,15;417,03;1668,12
2014;May;22;3088,39;617,68;2470,71
2014;May;23;2779,27;555,85;2223,41
2014;May;24;2752,65;550,53;2202,12
2014;May;25;2691,0;538,2;2152,8
2014;May;26;2878,63;575,73;2302,91
2014;May;27;2465,09;493,02;1972,07
2014;May;28;2674,96;534,99;2139,97
2014;May;29;2466,89;493,38;1973,51
2014;May;30;1955,8;391,16;1564,64
2014;May;31;1695,4;339,08;1356,32
2014;June;1;2794,54;558,91;2235,63
2014;June;2;1693,81;338,76;1355,05
2014;June;3;2167,46;433,49;1733,97
2014;June;4;2827,71;565,54;2262,17
2014;June;5;3133,98;626,8;2507,18
2014;June;6;1969,78;393,96;1575,83
2014;June;7;3356,91;671,38;2685,53
2014;June;8;2104,06;420,81;1683,25
2014;June;9;3317,75;663,55;2654,2
2014;June;10;1782,83;356,57;1426,26
2014;June;11;2107,06;421,41;1685,65
2014;June;12;1905,44;381,09;1524,35
2014;June;13;2791,92;558,38;2233,54
2014;June;14;3080,58;616,12;2464,46
2014;June;15;1718,38;343,68;1374,7
2014;June;16;1756,54;351,31;1405,23
2014;June;17;2134,74;426,95;1707,79
2014;June;18;2659,47;531,89;2127,58
2014;June;19;2329,72;465,94;1863,78
2014;June;20;2394,08;478,82;1915,26
2014;June;21;2786,1;557,22;2228,88
2014;June;22;2938,62;587,72;2350,89
2014;June;23;1942,62;388,52;1554,1
2014;June;24;3037,79;607,56;2430,23
2014;June;25;3044,48;608,9;2435,58
2014;June;26;2616,24;523,25;2092,99
2014;June;27;2524,61;504,92;2019,69
2014;June;28;1880,54;376,11;1504,43
2014;June;29;2757,86;551,57;2206,29
2014;June;30;2187,8;437,56;1750,24
2014;July;1;2341,05;468,21;1872,84
2014;July;2;1539,96;307,99;1231,97
2014;July;3;2190,48;438,1;1752,38
2014;July;4;1614,27;322,85;1291,42
2014;July;5;2844,31;568,86;2275,45
2014;July;6;2181,17;436,23;1744,94
2014;July;7;1607,63;321,53;1286,1
2014;July;8;2893,77;578,75;2315,02
2014;July;9;2908,29;581,66;2326,63
2014;July;10;2073,11;414,62;1658,49
2014;July;11;3050,3;610,06;2440,24
2014;July;12;2923,87;584,77;2339,1
2014;July;13;2775,87;555,17;2220,7
2014;July;14;2058,15;411,63;1646,52
2014;July;15;2838,0;567,6;2270,4
2014;July;16;2777,7;555,54;2222,16
2014;July;17;2162,09;432,42;1729,67
2014;July;18;2400,26;480,05;1920,21
2014;July;19;2398,8;479,76;1919,04
2014;July;20;2081,74;416,35;1665,4
2014;July;21;2880,48;576,1;2304,39
2014;July;22;1674,62;334,92;1339,7
2014;July;23;2999,34;599,87;2399,47
2014;July;24;1844,42;368,88;1475,54
2014;July;25;2307,91;461,58;1846,32
2014;July;26;2003,52;400,7;1602,82
2014;July;27;2660,86;532,17;2128,69
2014;July;28;2830,2;566,04;2264,16
2014;July;29;1632,7;326,54;1306,16
2014;July;30;1959,0;391,8;1567,2
2014;July;31;2729,07;545,81;2183,26
2014;August;1;2200,51;440,1;1760,41
2014;August;2;2310,78;462,16;1848,62
2014;August;3;3058,47;611,69;2446,78
2014;August;4;2637,85;527,57;2110,28
2014;August;5;1749,06;349,81;1399,25
2014;August;6;2545,02;509,0;2036,02
2014;August;7;2797,86;559,57;2238,29
2014;August;8;1827,77;365,55;1462,21
2014;August;9;2400,47;480,09;1920,37
2014;August;10;2551,53;510,31;2041,23
2014;August;11;1883,73;376,75;1506,99
2014;August;12;2189,27;437,85;1751,41
2014;August;13;3321,47;664,29;2657,17
2014;August;14;2842,73;568,55;2274,18
2014;August;15;1880,7;376,14;1504,56
2014;August;16;3123,62;624,72;2498,9
2014;August;17;2357,89;471,58;1886,31
2014;August;18;2545,32;509,06;2036,26
2014;August;19;1990,15;398,03;1592,12
2014;August;20;2130,69;426,14;1704,55
2014;August;21;2211,33;442,27;1769,06
2014;August;22;2974,27;594,85;2379,42
2014;August;23;3133,91;626,78;2507,13
2014;August;24;2295,41;459,08;1836,33
2014;August;25;2662,25;532,45;2129,8
2014;August;26;1781,46;356,29;1425,17
2014;August;27;2707,89;541,58;2166,31
2014;August;28;2498,44;499,69;1998,75
2014;August;29;2136,69;427,34;1709,35
2014;August;30;2758,93;551,79;2207,14
2014;August;31;1777,97;355,59;1422,37
2014;September;1;1770,31;354,06;1416,25
2014;September;2;2822,5;564,5;2258,0
2014;September;3;1792,05;358,41;1433,64
2014;September;4;2291,01;458,2;1832,81
2014;September;5;1980,71;396,14;1584,57
2014;September;6;2469,64;493,93;1975,71
2014;September;7;2306,17;461,23;1844,93
2014;September;8;2419,69;483,94;1935,75
2014;September;9;2548,79;509,76;2039,03
2014;September;10;2874,04;574,81;2299,24
2014;September;11;2796,76;559,35;2237,41
2014;September;12;2831,65;566,33;2265,32
2014;September;13;2025,61;405,12;1620,49
2014;September;14;2271,47;454,29;1817,18
2014;September;15;2488,14;497,63;1990,51
2014;September;16;2161,08;432,22;1728,86
2014;September;17;2032,33;406,47;1625,86
2014;September;18;2292,44;458,49;1833,95
2014;September;19;2595,9;519,18;2076,72
2014;September;20;1904,97;380,99;1523,97
2014;September;21;1810,51;362,1;1448,41
2014;September;22;2900,59;580,12;2320,47
2014;September;23;1844,84;368,97;1475,87
2014;September;24;1980,71;396,14;1584,57
2014;September;25;3044,29;608,86;2435,43
2014;September;26;2963,38;592,68;2370,71
2014;September;27;2583,71;516,74;2066,97
2014;September;28;2072,94;414,59;1658,36
2014;September;29;2205,42;441,08;1764,34
2014;September;30;2539,88;507,98;2031,9
2014;October;1;1565,32;313,06;1252,26
2014;October;2;1855,44;371,09;1484,35
2014;October;3;1782,62;356,52;1426,09
2014;October;4;2161,1;432,22;1728,88
2014;October;5;2600,93;520,19;2080,74
2014;October;6;1647,61;329,52;1318,09
2014;October;7;2714,45;542,89;2171,56
2014;October;8;2128,86;425,77;1703,08
2014;October;9;2405,9;481,18;1924,72
2014;October;10;2586,4;517,28;2069,12
2014;October;11;2274,78;454,96;1819,82
2014;October;12;2103,33;420,67;1682,67
2014;October;13;2571,1;514,22;2056,88
